city,district,neighborhood,Fiyat,İlan Tarihi,İlan No,Marka,Seri,Model,Yıl,Yakıt,Vites,Araç Durumu,KM,Kasa Tipi,Motor Gücü,Motor Hacmi,Çekiş,Renk,Garanti,Ağır Hasar Kayıtlı,Plaka / Uyruk,Kimden,Takas
Denizli,Pamukkale,Topraklık Mh.,589.900 TL,26 Ekim 2024,1200048618,Fiat,Egea,1.4 Fire Urban,2019,Benzin,Manuel,İkinci El,61.000,Sedan,95 hp,1368 cc,Önden Çekiş,Kırmızı,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Ankara,Çankaya,Naci Çakır Mh.,919.000 TL,26 Ekim 2024,1202942728,Fiat,Egea,1.6 Multijet Urban,2022,Dizel,Otomatik,İkinci El,91.000,Sedan,130 hp,1598 cc,Önden Çekiş,Mavi,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Bağcılar,Göztepe Mh.,599.000 TL,26 Ekim 2024,1200580219,Fiat,Egea,1.3 Multijet Easy,2021,Dizel,Manuel,İkinci El,91.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Denizli,Pamukkale,Topraklık Mh.,589.900 TL,26 Ekim 2024,1200048618,Fiat,Egea,1.4 Fire Urban,2019,Benzin,Manuel,İkinci El,61.000,Sedan,95 hp,1368 cc,Önden Çekiş,Kırmızı,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Ankara,Çankaya,Naci Çakır Mh.,919.000 TL,26 Ekim 2024,1202942728,Fiat,Egea,1.6 Multijet Urban,2022,Dizel,Otomatik,İkinci El,91.000,Sedan,130 hp,1598 cc,Önden Çekiş,Mavi,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Bağcılar,Göztepe Mh.,599.000 TL,26 Ekim 2024,1200580219,Fiat,Egea,1.3 Multijet Easy,2021,Dizel,Manuel,İkinci El,91.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Ankara,Yenimahalle,Mehmet Akif Ersoy Mah.,582.500 TL,26 Ekim 2024,1207191786,Fiat,500 Ailesi,500L 1.3 Mjet PopStar,2013,Dizel,Otomatik,İkinci El,250.000,MPV,85 hp,1248 cc,Önden Çekiş,Kırmızı,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Küçükçekmece,İstasyon Mh.,749.750 TL,26 Ekim 2024,1207183494,Fiat,Egea,1.3 Multijet Easy,2022,Dizel,Manuel,İkinci El,65.000,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Kütahya,Merkez,Fuatpaşa Mh.,759.000 TL,26 Ekim 2024,1207177115,Fiat,Egea,1.4 Fire Urban,2021,Benzin,Manuel,İkinci El,27.000,Sedan,95 hp,1368 cc,Önden Çekiş,Kırmızı,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Düzce,Merkez,Azmimilli Mah.,789.000 TL,26 Ekim 2024,1207173909,Fiat,Egea,1.4 Fire Urban,2023,Benzin,Manuel,İkinci El,59.000,Sedan,95 hp,1368 cc,Önden Çekiş,Gümüş Gri,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
Konya,Beyşehir,Dalyan Mah.,719.000 TL,26 Ekim 2024,1207169254,Fiat,Egea,1.3 Multijet Easy,2021,Dizel,Manuel,İkinci El,99.900,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Kartal,Atalar Mah.,430.000 TL,26 Ekim 2024,1197018663,Fiat,Punto,1.2 Pop,2012,Benzin & LPG,Manuel,İkinci El,168.000,Hatchback 5 kapı,69 hp,1242 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
İstanbul,Ataşehir,İnönü Mh.,697.500 TL,26 Ekim 2024,1194329271,Fiat,Egea,1.3 Multijet Easy,2022,Dizel,Manuel,İkinci El,57.159,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Ankara,Sincan,Plevne Mah.,345.000 TL,26 Ekim 2024,1207146630,Fiat,Marea,1.6 Liberty,2004,Benzin & LPG,Manuel,İkinci El,198.000,Sedan,103 hp,1596 cc,Önden Çekiş,Gümüş Gri,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
Mardin,Kızıltepe,Turgut Özal Mh.,295.000 TL,26 Ekim 2024,1207117272,Fiat,Punto,Grande 1.3 Multijet Dynamic,2007,Dizel,Manuel,İkinci El,336.500,Hatchback 3 kapı,75 hp,1248 cc,Önden Çekiş,Kırmızı,Hayır,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Esenyurt,Turgut Özal Mh.,889.000 TL,25 Ekim 2024,1206899184,Fiat,Egea,1.6 Multijet Urban Plus,2020,Dizel,Otomatik,İkinci El,59.000,Hatchback 5 kapı,120 hp,1598 cc,Önden Çekiş,Füme,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Esenyurt,Turgut Özal Mh.,819.000 TL,25 Ekim 2024,1206897920,Fiat,Egea,1.6 Multijet Urban Plus,2019,Dizel,Otomatik,İkinci El,115.000,Hatchback 5 kapı,120 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Esenyurt,Turgut Özal Mh.,847.000 TL,25 Ekim 2024,1207116776,Fiat,Egea,1.6 Multijet Urban Plus,2020,Dizel,Otomatik,İkinci El,99.900,Hatchback 5 kapı,120 hp,1598 cc,Önden Çekiş,Füme,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
İstanbul,Esenyurt,Turgut Özal Mh.,867.000 TL,25 Ekim 2024,1207114597,Fiat,Egea,1.6 Multijet Urban Plus,2020,Dizel,Otomatik,İkinci El,63.000,Sedan,120 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
